(0820,26373)
(0486,25401)
(0460,17116)
(0810,15020)
(1320,14088)
(1310,14008)
(0560,12527)
(0890,10022)
(0910,9948)
(0610,9610)
(0860,9129)
(1811,9022)
(0620,4805)
(2820,4455)
(1330,4380)
(031A,4133)
(0320,3851)
(1153,3709)
(2024,3699)
(1150,3485)
(2825,3146)
(143A,2761)
(051A,2349)
(2826,2340)
(0870,2112)
(0430,1968)
(2027,1967)
(041A,1888)
(1152,1693)
(0470,1684)
(1130,1656)
(4387,1536)
(2014,1484)
(0520,1367)
(1210,1350)
(1365,1306)
(5002,1285)
(1305,1282)
(1154,1094)
(0497,1045)
(0530,1019)
(0840,967)
(0420,946)
(0281,914)
(1506,911)
(1812,862)
(2093,855)
(2022,768)
(1350,763)
(0484,748)
(4625,743)
(0496,734)
(1360,728)
(3731,724)
(0880,721)
(502P,704)
(0454,701)
(1821,700)
(0630,690)
(1750,684)
(0930,683)
(1121,672)
(0545,642)
(0330,642)
(1345,585)
(0110,557)
(2017,547)
(1120,546)
(5011,542)
(1780,541)
(1822,535)
(2092,490)
(0313,489)
(0312,472)
(1110,472)
(1122,462)
(0920,457)
(502R,457)
(0850,440)
(1563,413)
(1156,408)
(0340,401)
(5007,374)
(0554,373)
(1661,353)
(033A,353)
(5000,351)
(3710,338)
(0326,330)
(2028,318)
(1710,308)
(0841,306)
(1020,304)
(1220,301)
(2170,298)
(0915,292)
(5001,273)
(0498,272)
(0650,254)
(141A,253)
(1206,250)
(2026,240)
(141C,234)
(0917,230)
(1477,229)
(1562,223)
(1570,222)
(0325,217)
(4650,213)
(1752,205)
(0265,204)
(4651,187)
(2025,171)
(0495,161)
(0479,160)
(0440,159)
(1340,158)
(2023,156)
(2091,156)
(5111,156)
(0266,149)
(2850,148)
(501A,147)
(2021,145)
(1513,143)
(2250,136)
(0580,129)
(1512,128)
(1242,117)
(1751,114)
(1754,113)
(2851,112)
(1582,112)
(143B,112)
(2890,111)
(1790,111)
(0843,105)
(143C,105)
(3960,103)
(5110,101)
(4510,100)
(2860,93)
(0334,92)
(1155,91)
(2220,88)
(051B,88)
(3730,87)
(1792,81)
(1460,81)
(1505,79)
(2210,79)
(1195,79)
(1200,78)
(2012,72)
(0291,71)
(0261,66)
(0337,65)
(0331,64)
(1753,64)
(2090,63)
(1090,60)
(4255,60)
(1025,60)
(2031,59)
(2900,58)
(0553,57)
(1140,55)
(031B,54)
(1185,54)
(0453,53)
(2095,51)
(0483,51)
(0550,50)
(1585,48)
(2018,45)
(0485,45)
(3100,44)
(1544,44)
(4386,42)
(0558,42)
(2050,42)
(0842,42)
(2870,42)
(1151,41)
(2830,41)
(141B,41)
(0263,41)
(2016,40)
(1235,40)
(2230,39)
(1755,39)
(0865,38)
(3760,34)
(2020,34)
(1261,34)
(3970,34)
(4230,33)
(2013,31)
(2015,31)
(0552,31)
(0557,31)
(1565,29)
(1540,29)
(1170,29)
(5004,29)
(0935,28)
(0895,26)
(2840,25)
(5131,25)
(5112,23)
(0555,23)
(4310,23)
(2034,23)
(4388,22)
(0583,21)
(0462,21)
(0584,21)
(2110,19)
(1240,19)
(502T,19)
(1375,19)
(2011,18)
(4210,18)
(0461,18)
(1478,17)
(3800,17)
(1720,15)
(5093,15)
(041B,15)
(1850,14)
(1479,13)
(0264,13)
(1536,12)
(033B,12)
(1549,12)
(1245,12)
(1480,12)
(3750,12)
(0275,11)
(1541,11)
(1205,11)
(4860,11)
(5130,11)
(1255,11)
(2029,10)
(5114,10)
(3300,10)
(1535,10)
(4220,10)
(1335,9)
(4652,9)
(0918,9)
(0488,9)
(1725,9)
(0452,8)
(1680,8)
(0482,8)
(1590,8)
(1370,8)
(0925,8)
(2032,7)
(1670,7)
(1564,7)
(4389,7)
(0937,7)
(500N,7)
(142A,7)
(0475,6)
(1900,6)
(5003,6)
(1791,6)
(1525,6)
(1507,5)
(0273,5)
(5132,5)
(1566,5)
(2094,5)
(500E,5)
(0271,5)
(1135,5)
(2160,5)
(2040,4)
(1537,4)
(1050,4)
(0142,4)
(0927,4)
(3910,3)
(2010,3)
(2033,3)
(5008,3)
(1030,3)
(1260,3)
(0581,3)
(4800,3)
(4240,3)
(1520,3)
(1010,3)
(1580,3)
(501H,3)
(1055,3)
(2030,3)
(1581,3)
(1840,2)
(1241,2)
(0551,2)
(0450,2)
(5009,2)
(1651,2)
(1265,2)
(3000,2)
(0556,2)
(0487,2)
(2080,2)
(1450,2)
(0585,1)
(0274,1)
(5121,1)
(1715,1)
(1435,1)
(5073,1)
(142B,1)
(2895,1)
(3975,1)
(1576,1)
(1530,1)
(0262,1)
(2019,1)
(2070,1)
(3610,1)
(1515,0)
(3770,0)
(3961,0)
(0830,0)
(0141,0)
(2060,0)
(5122,0)
(3966,0)
(3920,0)
(0489,0)
(4740,0)
(1526,0)
(1531,0)
(1481,0)
(1476,0)
(1682,0)
(1574,0)
(4810,0)
(3980,0)
(3740,0)
(5094,0)
(0481,0)
(1160,0)
(3751,0)
(1860,0)
(3200,0)
(1511,0)
(0451,0)
(5013,0)
(0272,0)
(0928,0)
(3720,0)
(2251,0)
(0938,0)
(5120,0)
(0480,0)
(2111,0)
(1611,0)
(1230,0)
(2240,0)
(5113,0)
(1510,0)
(1035,0)
