(0423,3504)
(0421,3289)
(0624,3049)
(0823,3019)
(1112,2959)
(1533,2859)
(0511,2847)
(0414,2780)
(0825,2740)
(1522,2729)
(2533,2722)
(0321,2686)
(0522,2676)
(0621,2619)
(0713,2616)
(0612,2607)
(1531,2605)
(0512,2589)
(1532,2514)
(1834,2465)
(0831,2397)
(0132,2394)
(1523,2381)
(0631,2378)
(0312,2375)
(0712,2344)
(0324,2337)
(0833,2304)
(0832,2299)
(0313,2294)
(1122,2270)
(1121,2262)
(0813,2234)
(2534,2228)
(0725,2200)
(0623,2199)
(0513,2196)
(0523,2157)
(0122,2156)
(0632,2156)
(0611,2148)
(0824,2144)
(1011,2131)
(2535,2116)
(0815,2113)
(0912,2107)
(2512,2101)
(0711,2096)
(1524,2091)
(0834,2078)
(0424,2074)
(1111,2056)
(0835,2055)
(0323,2036)
(0524,2031)
(0412,2020)
(1133,1997)
(1822,1983)
(2521,1980)
(2532,1965)
(0613,1959)
(1723,1945)
(2212,1942)
(1132,1941)
(0331,1923)
(0733,1915)
(1831,1915)
(1211,1914)
(1823,1911)
(0723,1904)
(0332,1899)
(2413,1894)
(1422,1891)
(0533,1888)
(0413,1852)
(1135,1847)
(0431,1845)
(0432,1834)
(0914,1828)
(2234,1825)
(1423,1808)
(1113,1807)
(2422,1806)
(0735,1802)
(0634,1799)
(0422,1778)
(2515,1778)
(1022,1766)
(0411,1765)
(1434,1753)
(1021,1751)
(1433,1742)
(1124,1741)
(0322,1738)
(2222,1734)
(2233,1733)
(1821,1726)
(0822,1725)
(2223,1724)
(0814,1718)
(2232,1712)
(0614,1705)
(1123,1703)
(1424,1697)
(0211,1696)
(1824,1690)
(0531,1689)
(0935,1680)
(0726,1678)
(1633,1676)
(0934,1675)
(0134,1674)
(2113,1664)
(2531,1655)
(2433,1646)
(1323,1644)
(1421,1642)
(2432,1640)
(1712,1637)
(1833,1629)
(1024,1613)
(2514,1610)
(0334,1610)
(2522,1603)
(1511,1598)
(1031,1591)
(0913,1586)
(1012,1585)
(0915,1580)
(0233,1580)
(1512,1574)
(1731,1561)
(1732,1556)
(0532,1553)
(1923,1552)
(0911,1552)
(1034,1542)
(1634,1538)
(1231,1530)
(1134,1521)
(0932,1521)
(1622,1518)
(2123,1513)
(2132,1512)
(1913,1494)
(0123,1493)
(1432,1492)
(0724,1489)
(0131,1486)
(1131,1483)
(0714,1476)
(0333,1469)
(2524,1467)
(0924,1466)
(0731,1465)
(2311,1464)
(1331,1461)
(0732,1454)
(2412,1450)
(1013,1449)
(1115,1446)
(0734,1442)
(1651,1441)
(0722,1439)
(1933,1438)
(1014,1436)
(2523,1433)
(2221,1432)
(0212,1425)
(2411,1424)
(1623,1419)
(1832,1392)
(0811,1391)
(1624,1390)
(1722,1388)
(1733,1379)
(0715,1356)
(2424,1352)
(0922,1352)
(0314,1347)
(0821,1341)
(0232,1333)
(2011,1331)
(1412,1328)
(0433,1326)
(1924,1320)
(1311,1314)
(1224,1297)
(0923,1295)
(1413,1295)
(1033,1294)
(1212,1293)
(2211,1284)
(1811,1284)
(1411,1282)
(1023,1269)
(2213,1266)
(2525,1263)
(1932,1263)
(0622,1260)
(1223,1260)
(2122,1257)
(1724,1255)
(0111,1252)
(2423,1250)
(0931,1248)
(0234,1237)
(1513,1232)
(1324,1221)
(2124,1214)
(1332,1213)
(1313,1211)
(0633,1204)
(1812,1202)
(0222,1200)
(0113,1199)
(0933,1197)
(1222,1185)
(1931,1185)
(1312,1183)
(1414,1169)
(1713,1165)
(1125,1164)
(2511,1162)
(0311,1162)
(1431,1161)
(0812,1161)
(1213,1143)
(2431,1137)
(0221,1110)
(1632,1106)
(0223,1102)
(1114,1083)
(1711,1078)
(2331,1063)
(2112,1038)
(2333,1034)
(2024,1028)
(0112,1006)
(0213,1005)
(1032,996)
(1912,985)
(0224,977)
(1631,973)
(2013,962)
(1814,958)
(2332,945)
(0124,940)
(2312,935)
(1233,926)
(2324,923)
(0214,921)
(2313,920)
(1322,906)
(1614,905)
(2513,900)
(0925,889)
(2131,869)
(1922,845)
(0921,832)
(0434,818)
(2023,812)
(1813,810)
(2031,795)
(2322,791)
(2012,786)
(2111,778)
(1611,771)
(1333,770)
(2033,766)
(1911,760)
(2323,755)
(2032,748)
(0133,721)
(2022,703)
(1613,666)
(2133,660)
(0231,622)
(1612,603)
(1232,483)
(1621,460)
(1654,40)
(1653,29)
(1652,16)
(1655,10)
(1914,3)
(1925,3)
(1234,2)
(0215,2)
(1225,2)
(1935,2)
(1235,2)
(1921,1)
(0121,1)
(1214,1)
(0114,1)
(0225,1)
(0235,1)
(1934,1)
(0430,1)
(1221,1)
(1915,1)
(1215,0)
(0310,0)
