(0460,36453)
(0820,33677)
(0486,31291)
(1320,24872)
(1310,24148)
(0810,22986)
(1811,19350)
(0560,19068)
(0610,17894)
(0910,16216)
(0890,14501)
(2027,10132)
(2820,9709)
(0860,9556)
(1330,8373)
(2825,7432)
(0620,6286)
(2024,6147)
(031A,5721)
(0320,5681)
(0430,5161)
(1506,3963)
(0840,3502)
(1350,3003)
(051A,2782)
(1150,2680)
(5002,2634)
(143A,2559)
(2092,2283)
(1305,2251)
(041A,2167)
(4387,2130)
(2095,2082)
(0915,2066)
(2017,1999)
(1210,1986)
(1130,1975)
(0420,1926)
(0520,1890)
(2022,1811)
(1152,1767)
(0930,1708)
(0870,1688)
(0530,1679)
(502P,1493)
(0470,1481)
(1365,1449)
(2014,1379)
(1513,1324)
(1120,1293)
(0841,1213)
(0880,1074)
(0630,1066)
(1812,1065)
(1110,1064)
(0497,992)
(2093,977)
(5001,931)
(0484,907)
(0545,904)
(1661,895)
(0313,860)
(1345,842)
(1750,825)
(0281,809)
(0312,803)
(0920,776)
(0330,765)
(0454,747)
(0850,733)
(1822,698)
(1121,698)
(0326,682)
(0496,667)
(1360,659)
(0340,654)
(141C,646)
(2170,618)
(2826,610)
(1220,594)
(1821,589)
(1563,584)
(1570,546)
(033A,541)
(2850,534)
(0110,515)
(1020,484)
(1780,457)
(2094,457)
(1340,445)
(2230,425)
(1710,419)
(5000,418)
(5007,417)
(502R,400)
(1122,396)
(1562,387)
(2830,371)
(2851,366)
(0440,362)
(0325,331)
(0554,315)
(0917,311)
(4651,308)
(3710,304)
(0650,297)
(1206,283)
(0265,283)
(1790,272)
(5011,271)
(3960,257)
(2091,256)
(0935,247)
(0842,244)
(2210,241)
(2025,239)
(2220,236)
(4650,232)
(1200,215)
(1754,206)
(501A,205)
(2023,200)
(2012,195)
(2250,194)
(0843,193)
(2900,188)
(0580,183)
(1752,181)
(143B,179)
(1792,170)
(2026,167)
(0266,164)
(1505,162)
(4255,159)
(2860,157)
(0499,154)
(0498,153)
(0337,144)
(0334,140)
(141A,139)
(1025,136)
(1460,133)
(1090,131)
(3730,129)
(1153,128)
(1195,127)
(051B,125)
(1751,121)
(041B,119)
(0261,112)
(0453,109)
(4510,107)
(2090,106)
(3100,105)
(0479,101)
(1753,99)
(0925,99)
(1235,99)
(1140,98)
(2111,96)
(0495,94)
(2840,93)
(2028,93)
(0483,92)
(1242,88)
(0895,87)
(1512,86)
(031B,84)
(4230,79)
(2890,78)
(2110,75)
(1525,74)
(0263,71)
(0558,71)
(0553,69)
(2870,69)
(0291,68)
(3800,68)
(1670,66)
(1170,66)
(1375,65)
(143C,62)
(5004,61)
(0865,58)
(4310,56)
(0550,53)
(1477,53)
(1151,51)
(1755,50)
(1680,50)
(4210,50)
(1720,46)
(4388,46)
(2013,42)
(2021,41)
(0331,41)
(1335,40)
(2015,40)
(1565,39)
(1205,38)
(2020,36)
(1185,36)
(1544,35)
(1626,34)
(1651,34)
(4220,32)
(0485,31)
(1370,30)
(0461,30)
(1549,30)
(2050,29)
(1682,28)
(1240,28)
(0450,28)
(0488,27)
(0462,27)
(0552,26)
(2029,26)
(1585,25)
(502T,25)
(141B,25)
(3750,24)
(0557,23)
(3760,22)
(1850,22)
(1582,20)
(1507,19)
(1255,19)
(1791,19)
(0264,19)
(033B,18)
(1245,16)
(2031,16)
(1154,16)
(142A,15)
(0555,15)
(0452,14)
(0275,14)
(4652,13)
(0489,13)
(1540,13)
(3970,13)
(1435,13)
(5008,13)
(3910,12)
(2016,12)
(0273,12)
(0480,12)
(0937,12)
(2018,11)
(0271,10)
(0482,10)
(2040,9)
(0581,9)
(2010,9)
(1261,9)
(1590,9)
(2011,9)
(1520,8)
(1611,8)
(5003,8)
(3975,7)
(1515,7)
(1010,7)
(0583,7)
(1900,7)
(1530,7)
(1564,7)
(142B,7)
(2160,7)
(0556,6)
(0927,6)
(2240,6)
(1631,6)
(1536,6)
(4860,6)
(1135,6)
(1030,5)
(0551,5)
(500N,5)
(2030,5)
(4800,5)
(4240,5)
(1265,5)
(2019,5)
(501H,5)
(1725,4)
(2070,4)
(500E,4)
(0918,4)
(4625,4)
(0475,3)
(1230,3)
(3920,3)
(1541,3)
(0274,3)
(3000,3)
(1566,3)
(1511,3)
(2032,3)
(0487,3)
(1035,3)
(4810,2)
(1260,2)
(1510,2)
(1537,2)
(0481,2)
(1621,2)
(0451,2)
(1610,2)
(1840,2)
(1580,2)
(1630,2)
(0262,2)
(1650,1)
(3720,1)
(1622,1)
(5009,1)
(3610,1)
(1535,1)
(3966,1)
(3300,1)
(0142,1)
(1576,1)
(3400,1)
(1155,1)
(3740,1)
(1715,1)
(1574,1)
(1450,1)
(2895,1)
(1531,1)
(3751,1)
(2080,1)
(1627,0)
(5005,0)
(4740,0)
(1526,0)
(0494,0)
(1476,0)
(0493,0)
(3200,0)
(0272,0)
(1640,0)
(0928,0)
(0510,0)
(4389,0)
(3770,0)
(1440,0)
(1160,0)
(1050,0)
(0141,0)
(3731,0)
(1578,0)
(1633,0)
(2060,0)
(1620,0)
(2120,0)
(1156,0)
(9901,0)
(5093,0)
(1624,0)
(3980,0)
(1625,0)
(1681,0)
(0492,0)
(1860,0)
(1241,0)
(2251,0)
(1572,0)
(0938,0)
(1521,0)
(0490,0)
(1697,0)
